Country Code,Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region,IncomeGroup,SpecialNotes,TableName,X6
BTN,Bhutan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,600,600,600,600,600,900,900,1000,1000,1100,1138,1297,1948,1890,2306,2467,2566,2720,2772,2706,3053.399927,4146.031775,3553,5820,8772,4640,6065,4215,5187,0,South Asia,Lower middle income,0,Bhutan,0
BWA,Botswana,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,2700,2600,2600,2600,2800,3500,3300,4300,4600,4900,5800,6700,6300,3800,3600,4000,4200,4900,5400,5900,6703,7138,7304,7214,7885,8181,6905,7366,6105,6142,7681,7910.25856,8422.23448,9396,8304,7741,7933,7002,6774,0,Sub-Saharan Africa,Upper middle income,0,Botswana,0
CAF,Central African Republic,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,3600,3600,3300,3400,3400,3700,3900,3800,4100,4200,4300,4000,4200,4100,4200,4300,4300,4300,4400,4400,3800,4500,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sub-Saharan Africa,Low income,0,Central African Republic,0
CAN,Canada,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,305200,292500,291400,348900,371900,363800,352900,348000,349200,357700,382000,383600,344000,325300,343600,351900,343000,333800,380900,370200,346800,257800,258700,243700,253500,282800,305800,310800,317800,319600,963468,982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1234528.619,1245743.616,1280198.186,1263297.337,1290419,1322033,1359442,1443818,1475062.586,0,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Canada,0
CHE,Switzerland,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,84600,86500,83100,85700,87700,89500,89300,90500,93600,95300,97700,95900,109200,111400,111600,115800,122200,122700,132000,145900,152100,150800,157600,168900,174900,191200,218200,220800,250300,276300,289031,284899,242800,189121,144703,134839,125126,139124,158788,168280,224807,244994,257233.2543,266128,263267,250094,229530,216436,219782,0,Europe & Central Asia,High income,0,Switzerland,0
CHI,Channel Islands,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe & Central Asia,High income,0,Channel Islands,0
CHL,Chile,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,24900,27000,24800,21200,21500,16600,14300,14800,14100,12500,13700,18300,20700,19200,20100,25300,26300,29000,35300,36000,40100,36600,48200,58600,68800,77800,93700,109300,119100,92500,87945,82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,123739,125120,127631,124480,116532,116238,124316,134661,0,Latin America & Caribbean,High income,0,Chile,0
CHN,China,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21200,26600,27700,28800,34000,63000,51000,57300,69800,74000,92500,102200,127900,159700,176900,159200,196000,190300,200300,261600,325900,397600,493000,470200,510500,547800,572921,840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2377789,2538667,2779741,3073450,3356756,3616026,3952098,4359033,4692008,0,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",China,0
CIV,Cote d'Ivoire,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,4300,3900,3800,4000,4000,4600,4900,4900,5100,5200,5600,10300,10400,10400,10700,6100,6100,6700,7100,5600,5400,4900,5000,4600,4300,4400,4600,3500,3500,6300,2342,716,0,0,0,0,0,0,0,0,5604,907,415,3912,4032,9068,9463,14884,15188,0,Sub-Saharan Africa,Lower middle income,0,Côte d'Ivoire,0
CMR,Cameroon,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,3800,2800,2300,4000,0,3700,0,7200,6500,10000,8300,8400,8500,8200,8100,8200,6100,6200,6200,9700,7100,7000,4100,4100,4200,3800,3800,6500,6600,5400,5580,10103,4720,9524,10337,10696,10925,11650,9471,9501,0,3036,4938,5640,5640,5499,8212,5640,5550,0,Sub-Saharan Africa,Lower middle income,0,Cameroon,0
