Country Code,Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region,IncomeGroup,SpecialNotes,TableName,X6
DJI,Djibouti,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,2800,3100,3200,3800,3900,3200,3900,2100,3900,3900,3900,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Middle East & North Africa,Lower middle income,0,Djibouti,0
DMA,Dominica,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin America & Caribbean,Upper middle income,0,Dominica,0
DNK,Denmark,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,50600,64700,69800,70700,67200,66100,67700,67600,70000,74300,69700,64000,69200,77700,62000,75400,82800,85000,84600,87500,90600,87400,91100,101900,97200,101600,107800,118600,114600,106300,109369,110492,97713,90641,99598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe & Central Asia,High income,0,Denmark,0
DOM,Dominican Republic,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,8600,3900,3900,4200,4200,3700,10000,11300,10700,5900,5000,4300,5600,6100,6800,6800,6200,5300,6100,6000,9500,4500,4300,3900,3000,2800,1300,1400,1400,400,0,0,0,0,0,0,0,0,0,0,1552,2286,2303,1908,1584,1421,1170,0,0,0,Latin America & Caribbean,Upper middle income,0,Dominican Republic,0
DZA,Algeria,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,14800,17400,19300,26200,29300,31900,34400,32900,35000,34800,36500,38200,38700,40300,43400,46200,50500,48400,49400,45700,44100,45600,45900,45400,45500,47000,45100,49600,44200,36400,40202,49274,46015,44315,48531,45692,44822,44136,31026,52731,53088,53286,54292,55516,60066,65940,73465,74714,77463,0,Middle East & North Africa,Upper middle income,0,Algeria,0
ECU,Ecuador,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,28200,21100,19900,20700,19600,20800,21500,23000,24700,25600,27900,27400,27300,26500,26600,26300,27000,27600,27300,27800,27900,27900,20300,45000,43400,21800,22500,26200,26900,20200,18419,16523,15407,24801,28422,29844,31016,44842,49162,46485,60835,49193,54250.92262,58687,61248,61649,55430,50837,53033,0,Latin America & Caribbean,Upper middle income,0,Ecuador,0
EGY,"Egypt, Arab Rep.","Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,14500,12800,15700,14800,17000,15100,16900,18600,18700,21300,25700,27600,28100,29700,29900,31500,29800,30900,33800,35200,19800,25700,34100,31300,38000,39000,41300,41600,39500,44300,47418,41373,41858,42152,42189,44730,47444,51440,57510,56414,104036.125,78726.09091,92303,100735.5,101725.7674,108206,115856,105464,104473,0,Middle East & North Africa,Lower middle income,0,"Egypt, Arab Rep.",0
ERI,Eritrea,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,714,919,919,0,Sub-Saharan Africa,Low income,0,Eritrea,0
ESP,Spain,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,146900,159400,167300,176400,178800,181800,184500,192700,209300,214200,207900,188700,191000,194000,184900,181700,180400,183000,207200,225500,244700,262600,289700,282200,282300,313200,332800,370400,387900,414200,485856,517481,493019,518836,549963,586438,602978,657606,616893,547971,546298.8539,535074,471440.8869,465558.909,486353.8,534895,566775,579842,641020,0,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Spain,0
EST,Estonia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,5700,5700,6500,5100,7800,11400,10600,9199,9133,8324,8522,7814,8350,8183,9214,11478,8592,12207.97055,13492,26778,13356,13524,13954,16179,528,790,0,Europe & Central Asia,High income,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Estonia,0
ETH,Ethiopia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,20100,20600,21400,21600,19800,16300,18600,12300,9700,8300,8100,12000,13700,14800,16000,21600,23700,24400,22900,23600,20600,20000,25000,24200,25600,26200,24800,28100,27100,24900,26624,28128,28359,27204,29546,30961,33644,37528,39804,44154,48783,57728,62136,68131,71166,83940,94330,99263,110971,0,Sub-Saharan Africa,Low income,Fiscal year end: July 7; reporting period for national accounts data: FY.,Ethiopia,0
FIN,Finland,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,44900,48400,51500,55100,60700,64300,62600,56400,60000,61100,70800,74100,72200,68900,68800,70300,66400,77300,84000,89800,93400,92000,93600,90300,91000,97000,103200,113300,119000,120700,145174,128881,108923,107026,109209,107108,114699,118686,114371,104740,132408.2842,144467,138914.1327,138987,140256,153849,162119,118856,125804,0,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Finland,0
FJI,Fiji,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,15500,17600,17800,17600,12800,13200,15200,21200,19200,15500,15500,15700,15800,14200,13100,23700,23600,23500,23200,27200,27000,31000,32600,33600,86900,87900,57300,57776,62768,37685,38732,36920,41886,46866,46359,46467,45595,26127,18142,16011.28581,11748,19140,19487,20906,21855,24134,0,East Asia & Pacific,Upper middle income,0,Fiji,0
FRA,France,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,215400,211600,232500,230600,239100,246300,255700,256300,258000,262400,248400,254400,268600,241000,259900,261200,274400,314400,368200,393200,441700,408000,413700,459800,479000,482000,549900,667500,691800,748600,811776,777756,734679,695865,682263,728081,805731,825471,827851,771675,738003.4264,754292,739353.5998,641440,610197,607168,599427,599256,597412,0,Europe & Central Asia,High income,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",France,0
FRO,Faroe Islands,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe & Central Asia,High income,0,Faroe Islands,0
FSM,"Micronesia, Fed. Sts.","Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Asia & Pacific,Lower middle income,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised.","Micronesia, Fed. Sts.",0
GAB,Gabon,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,11200,11200,11000,11300,11200,11300,12700,12100,11600,11800,12000,12200,12600,13100,12600,12300,12300,12500,11000,10700,10400,11300,10800,10900,12000,12000,7100,10000,10100,7300,7445,7492,7474,7990,8342,8505,8524,9057,5654,5423,7516.159851,3002,1553,0,0,2765,2305,0,0,0,Sub-Saharan Africa,Upper middle income,0,Gabon,0
GBR,UK,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,441800,432200,435200,446300,429400,397100,409300,413300,462600,476900,477500,434000,433200,435600,457900,471700,498900,522900,573300,639100,670700,615500,654600,659400,684900,724800,772300,788900,801900,840800,876158,925638,924944,891154,970036,1018118,1037032,1044883,1056206,1003893,985109.0231,1062692,1050702.909,1052640,1064175.7,1104117,1180312,1182696,1242985,0,Europe & Central Asia,High income,0,United Kingdom,0
GEO,Georgia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1400,2500,1600,1600,3000,1906,1945,4239,5514,4451,4673,4861,5347,5487,5054,2803,3896,3326,2933,3317,3959,3199,5061,7108,0,Europe & Central Asia,Upper middle income,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Georgia,0
GHA,Ghana,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,5000,5400,5700,5600,5700,5900,6100,6000,7000,7000,5600,5100,5300,4500,4400,5800,5500,7500,12300,11800,12600,19000,15100,3200,3400,3000,3300,3500,3500,5000,4873,5892,4382,3333,3333,0,0,0,0,0,5645.669567,10683,14902,16560,16764,20539,21628,21224,14373,0,Sub-Saharan Africa,Lower middle income,0,Ghana,0
GIB,Gibraltar,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe & Central Asia,High income,0,Gibraltar,0
GIN,Guinea,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,2000,2000,2100,2200,2200,2300,2300,2300,2300,2300,2300,3500,3500,3500,3600,3600,500,900,900,900,1100,1100,700,700,1400,700,700,700,700,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sub-Saharan Africa,Low income,0,Guinea,0
GMB,"Gambia, The","Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1788,1848,35,440,625,625,0,Sub-Saharan Africa,Low income,0,"Gambia, The",0
GNB,Guinea-Bissau,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sub-Saharan Africa,Low income,0,Guinea-Bissau,0
GNQ,Equatorial Guinea,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,300,300,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1400,400,400,400,400,400,400,400,400,600,600,0,0,0,0,0,0,0,0,0,0,0,717.1709234,2808,8201,19416,14136,22350,22464,20590,19549.22085,0,Sub-Saharan Africa,Upper middle income,0,Equatorial Guinea,0
GRC,Greece,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,34100,39800,44500,48500,38000,42600,50600,49400,55600,57300,50300,49700,53900,58800,71600,77000,75800,78600,79200,80100,79600,69800,79200,86200,86600,89200,92400,94200,90700,94100,108584,125269,113247,114100,137676,130515,133226,137697,128287,112671,136382.2579,125477.1198,111870,103800,134160,124014,128454,135281,144040,0,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Greece,0
GRD,Grenada,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin America & Caribbean,Upper middle income,0,Grenada,0
GRL,Greenland,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe & Central Asia,High income,0,Greenland,0
GTM,Guatemala,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,10500,8200,8300,1800,3200,3700,4500,5000,4400,4300,3200,3100,3100,2000,2000,2200,1800,2100,2100,2300,3400,3400,4500,4600,4600,5100,5100,6400,6500,0,0,0,0,0,0,0,0,0,0,0,8875,9148,8091,2556,2214,3012,3102,3577,3205,0,Latin America & Caribbean,Upper middle income,0,Guatemala,0
GUM,Guam,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12139,11470,0,0,0,0,0,0,0,0,0,0,East Asia & Pacific,High income,0,Guam,0
GUY,Guyana,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,4000,4200,4200,4300,4400,4500,5000,5200,5200,5200,5200,6400,7100,7000,6700,6700,4500,4500,4300,3800,3800,3300,3300,3300,3300,3500,3600,3600,3600,500,418,276,0,0,0,0,0,0,0,0,9351,12231,8625,0,0,0,0,0,1931,0,Latin America & Caribbean,Upper middle income,0,Guyana,0
HKG,"Hong Kong SAR, China","Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124500,147100,167200,181500,193700,195200,224800,234700,72400,79182,85003,91096,87070,111136,122705,130014,141372,144039,149809,158255,173112,185506.3782,199639,215562,228582,235581,243518,245146,0,East Asia & Pacific,High income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.","Hong Kong SAR, China",0
HND,Honduras,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,21300,20600,17800,18000,17800,15900,14600,13900,15500,17200,19500,13200,13600,12100,11300,11800,8100,11300,14700,15100,17100,12500,11800,13700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21574,18287,16760,26796,24216,24813,24315,9482,14832,0,Latin America & Caribbean,Lower middle income,0,Honduras,0
HRV,Croatia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,4100,9200,12000,13300,15000,16700,16800,15900,16955,18258,19340,19751,20482,22031,21641,22391,24728,24613,24766,26743,26456,24305,25161,25183,26171,26809,27189,0,Europe & Central Asia,High income,0,Croatia,0
HTI,Haiti,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,3200,3200,3200,3400,700,700,700,700,700,700,700,800,800,800,800,800,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin America & Caribbean,Low income,Fiscal year end: September 30; reporting period for national accounts data: FY.,Haiti,0
HUN,Hungary,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,6200,3200,3000,3800,4500,4000,4300,11800,13700,15500,15600,16100,16600,15700,17000,17200,17100,17300,16200,17500,18900,16600,19800,23100,20900,21600,24900,25700,27500,30200,32297,31654,33290,40233,46837,47362,45781,51003,49795,45861,111307,120826.2124,88801.83165,103080,123708,145492,137605,158454,183541,0,Europe & Central Asia,High income,0,Hungary,0
IDN,Indonesia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,23500,24000,34200,42500,64800,74100,91600,105500,115300,120400,124800,142600,145300,143400,183000,185800,181500,190600,206100,193200,205400,215700,236900,227200,230500,262200,311200,194700,196700,135000,159027,164651,152278,155609,318488,320724,357414,357789,345240,330112,520932.082,599692.2761,641182.3007,576000,675005.8954,682389,823735,892801,959307.381,0,East Asia & Pacific,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,Indonesia,0
IMN,Isle of Man,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe & Central Asia,High income,0,Isle of Man,0
IND,India,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,97500,64700,96600,94300,69000,90600,94700,99000,105300,100100,100000,104600,106500,113500,120400,139900,151000,159500,157600,156300,125800,117500,120300,105300,130100,168400,151300,182500,196100,180500,198426,206690,231413,263870,302790,330484,453921,569033,592292,601977,623196.7786,695626,678125.9378,689094,724541.12,787998,917625,1029426,1200111.363,0,South Asia,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: FY.,India,0
IRL,Ireland,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,29000,27500,25200,25700,27500,25800,27100,27400,27700,31100,28400,27700,26600,26300,30800,32500,33500,36600,61400,73000,79500,82400,76700,69000,70300,84000,95000,107200,122700,132700,145457,156277,177032,231296,261345,303697,350204,416205,483741,528098,601262,635065,648817.6515,641412,658512,718059,836293,883323,935961,0,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Ireland,0
IRN,"Iran, Islamic Rep.","Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,17100,18800,19300,22200,25100,32000,38300,41900,41100,23000,18600,11600,24900,30900,36900,27200,35200,34500,31000,36500,39900,41500,37700,41600,46500,48600,63300,83400,79600,75900,82610,141396,92621,138537,109706,121235,136075,137645,122226,133932,158014.1835,161191.6776,153142.8222,161029,162563.3742,133663,159754,225399.088,228803.6158,0,Middle East & North Africa,Upper middle income,Fiscal year end: March 20; reporting period for national accounts data: FY.,"Iran, Islamic Rep.",0
IRQ,Iraq,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,5300,5800,6500,7300,7700,7300,8600,10100,10400,10400,8800,5500,6500,7400,6700,7900,8400,8400,12400,12600,7800,200,500,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7692,9697,8993,4332,4332,12805,10579,18509.38,21071,0,Middle East & North Africa,Upper middle income,0,Iraq,0
ISL,Iceland,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,10700,11300,12500,13800,13800,14600,13200,14200,14500,14800,15000,15000,16400,15800,16200,18000,16700,18600,18400,17600,18300,17700,16900,17300,18700,19200,21600,21100,21700,14700,12589,11728,9989,9750,10832,11803,12785,14064,12431,12924,21668.31647,24488,26469,26643,28979,35558,41022,50389,54653.30259,0,Europe & Central Asia,High income,0,Iceland,0
ISR,Israel,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,9700,19800,20600,20000,19700,8400,9200,10100,19100,18900,18500,19200,18500,18500,21100,22500,22700,21800,27800,29600,29500,29900,39100,41900,44200,48000,50000,51400,50100,51600,56427,47648,49404,46334,34152,34104,36257,47038,45309,47856,47829,47195,47073.82746,46644,49177,49020,50548,50330,53901,0,Middle East & North Africa,High income,0,Israel,0
ITA,Italy,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,183500,196300,204800,184900,185100,171700,171100,166900,159700,160700,162500,152800,158900,160700,161100,174700,172400,180100,189700,214200,229400,231500,261400,265300,268900,280000,306800,321400,338200,358900,367584,393484,350552,385911,382317,445968,447749,431647,382590,382897,335280,328771.58,306320.5033,258027,264899,273462,277671,243811,256596,0,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Italy,0
JAM,Jamaica,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,18600,19500,21500,13700,16100,12600,23800,19800,20100,21100,20700,19500,20000,29200,26500,27700,21600,24000,23300,25200,21300,20900,20000,20000,18700,17000,18300,12300,12500,20600,16577,24440,23343,23976,23338,21787,21133,22401,22894,16840,0,0,0,492,953,997,1128,1181,1215.272,0,Latin America & Caribbean,Upper middle income,0,Jamaica,0
JOR,Jordan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,4200,4400,4100,4500,5600,7000,8700,9300,10400,11900,14000,16500,17100,16200,15500,15200,14800,15000,15500,17400,14100,11000,14300,15500,16000,16800,17100,16700,15400,15900,16447,15893,16369,15354,17958,19689,26546,29415,30804,32490,39318.7916,40329.1978,39468,38998,38386,36622,38161,36946,36127,0,Middle East & North Africa,Upper middle income,0,Jordan,0
JPN,Japan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,277300,395100,298700,311800,320700,312700,321200,345900,369600,388500,396500,416600,417500,414300,416100,417800,433300,441500,465400,468300,476000,495800,473000,474400,489300,535900,564000,573300,636500,661800,645087,640328,647953,639866,638430,651858,670252,656917,655495,641913,934487.4395,812928,874677,915542.658,927666,956015,984320,1035522,999594,0,East Asia & Pacific,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Japan,0
KAZ,Kazakhstan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900,5900,20900,10300,10300,10400,9100,8041,8398,15426,19560,11754,17302,19160,19138,19229,18832,33483,40916,44580,66108,71220,72486,73188,83048,83287,0,Europe & Central Asia,Upper middle income,0,Kazakhstan,0
KEN,Kenya,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,10500,10100,8900,9900,8000,12200,14500,6400,8600,8500,9300,9100,7400,8900,10100,11100,11800,12000,11700,12100,13000,11700,13200,13900,13200,13500,14400,19600,19800,25100,29080,24741,25873,27057,26218,28399,29039,32329,32045,33593,78265,84955,82576,98244,90625,96749,99428,117027,137602.1784,0,Sub-Saharan Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: CY.,Kenya,0
KGZ,Kyrgyz Republic,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400,10400,11600,13300,10400,15300,8300,6051,4942,3951,4810,5550,5228,4730,4916,3567,5459,7371,9274,7719,12189,17388,20962,23120,27055,16344.37197,0,Europe & Central Asia,Lower middle income,0,Kyrgyz Republic,0
KHM,Cambodia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,1300,4400,3900,4100,3800,3400,3400,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4648,4512,3893,3207,3998,4324,3667,3304,5104.722222,7191,7432,11897.04324,14732,12983,11933,14372,14387,0,East Asia & Pacific,Lower middle income,0,Cambodia,0
KIR,Kiribati,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,6600,6700,7100,4200,3400,3000,3000,3000,2900,2900,2900,2900,2900,3000,3100,3100,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005,5005,0,East Asia & Pacific,Lower middle income,0,Kiribati,0
KNA,St. Kitts and Nevis,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin America & Caribbean,High income,0,St. Kitts and Nevis,0
KOR,"Korea, Rep.","Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,16000,38100,39100,39700,33100,29400,27500,30300,34000,39800,37100,34900,38900,41700,47900,49100,53100,59100,69200,143600,120100,120100,141000,163500,170300,188900,207300,229300,207900,204000,226910,228442,238649,240942,232077,221424,223735,243113,250260,256160,280427,282239,285000,360356,368132,448037,473606,499093.92,526374,0,East Asia & Pacific,High income,0,"Korea, Rep.",0
KWT,Kuwait,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,6700,6800,6800,7000,7600,8400,9700,11600,12500,12500,12900,13400,13300,14600,14700,14200,14300,14300,15000,15600,10000,7200,14300,16200,17200,17900,19400,17200,18700,17300,17486,16682,18929,17833,19512,19142,20673,17685,17999,18191,41848,31753,28814,27305,26610,30073,33387,42782,46450,0,Middle East & North Africa,High income,0,Kuwait,0
LAO,Lao PDR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,3100,2300,2400,2500,2400,2400,2400,1800,400,400,400,400,400,400,500,500,1500,2000,2000,2100,3400,3400,3700,3700,3700,3900,3900,3900,3900,6300,6411,6652,6971,7068,8413,9002,9959,9957,10007,9793,11374,12262,15836.12863,16944,12732,9772,9986,9731,10172.84292,0,East Asia & Pacific,Lower middle income,0,Lao PDR,0
